espanol,normalizado
pintoresco,picturesque
pintoresco,pintoresco
alegre,alegre
alegre,joyful
amable,friendly
atraso,backwardness
belleza,beauty
calor,heat
calor,hot
calor,sun
caridad,charity
cortejo,courting
exagerado,exaggerated
fiable,reliable
chulo,chulo
chula,chula
delicioso,delicious
encantador,delightful
galanteria,galantry
generoso,generous
golfillo,golfillo
guapo,guapo
guapa,guapa
guason,guason
honestidad,honesty
hospitalario,welcoming
impuntual,unpuctual
juerga,juerga
majadería,humbug
majadería,majaderia
patriota,patriotic
percal,percal
perezoso,lazy
picaro,trickery
picaro,picaresca
pobre,poor
pobre,pobre
pordiosero,pordiosero
orgulloso,proud
orgullo,pride
orientalismo,orientalism
ostentoso,ostentaious
puñalada,punalada
religioso,religious
siesta,siesta
tradición,tradition
valiente,brave
violento,violent
aguador,water carrier
aguador,aguador
alguacil,alguacil
alguacil,bailiff
arriero,muleteer
arriero,arriero
barbero,barber
boquerón,boqueron
buñolero,fritter
cigarrera,cigarette seller
cigarrera,cigar makers
faenera,faenera
faena,faena
ganadero,breeder
ganadero,ganadero
ganadería,miura
hacedor,maker
marinero,marinero
pescador,fisherman
pescador,jabegote
pescador,fisher
pescadora,fishergirl
pescadora,fisher-girl
jardinera,gardener
lechero,milkman
pastor,shepherd
planchadora,laundresses
posaderos,innkeepers
recogedor,picker
sereno,watchman
vendedor,seller
andaluz,andaluz
andaluz,andalusian
andaluz,andalucian
cordobés,cordovan
cordobés,cordovese
gaditano,gaditano
granadino,granadine
granadino,granadan
granadina,granadina
malagueño,malagueno
malagueña,malaguena
sevillana,sevillana
sevillano,sevillano
sevillano,sevillan
sevillano,sevillian
carmen,carmen
campesino,peasant
cantaor,cantaor
cantaora,cantaora
guardia civil,guardia civil
guardia civil,civil guard
bandolero,bandit
bandolero,bandolero
contrabandista,contrabandista
pernales,pernales
tempranillo,tempranillo
gitano,gipsy
gitano,gitana
gitano,gitano
manolo,manolo
manola,manola
majo,majo
maja,maja
mendigo,beggar
mendigo,mendicant
vagabundo,tramp
mujer,girl
mujer,woman
mujer,lady
mujer,senorita
mujer,senora
arabe,arab
arabe,arabic
arabe,arabian
musulman,muslim
musulman,moslem
moro,moor
moro,moorish
baile,dance
copla,copla
bolero,bolero
fandango,fandango
flamenco,flamenco
zarzuela,zarzuela
carnaval,carnival
carnaval,carnaval
comparsa,comparsa
murga,murga
copla,copla
caseta,caseta
fiesta,fiesta
fiesta,feast
feria,fair
feria,fête
feria,feria
verbena,verbena
verbena,verbain
murga,murga
cofradia,cofradia
paso,paso
peregrinaje,piligrimage
procesión,procession
procesión,pageant
romería,pilgrim
romeria,romeria
semana santa,holy week
semana santa,passion week
semana santa,semana santa
nazareno,nazareno
virgen,virgin
corrida,corrida
toreo,novillada
plaza,plaza
plaza de toros,bull-fight
plaza de toros,bullfight
plaza de toros,bullring
torero,bullfighter
torero,torero
tendido,tendido
banderillero,banderillero
cuadrilla,cuadrilla
picador,picador
novillero,novillero
paseo,stroll
paseo,promenade
tertulia,gathering
tertulia,conversation
abanico,fan
capa marrón,brown cloak
faja roja,red sash
garrocha,garrocha
guitarra,guitar
mantilla,shawl
mantilla,mantilla
pañuelos de colores,coloured handkerchief
peineta,hair comb
velo,veil
sandalia,sandal