Espanol,Normalizado 
alcázar,alcazar
alhambra,alhambra
capilla,capilla
capilla,chapel
castillo,castle
catedral,cathedral
catedral,catedral
generalife,generalife
gibralfaro,gibralfaro
giralda,giralda
iglesia,church
itálica,italica
medina azhara,medinat az-zahra
medina azhara,medinat al-zahra
medina azhara,medina azhara
mezquita,mosque
mezquita,mezquita
muralla,wall
muralla,rampart
palacio,palace
palacio,palacio
patio de los naranjos,court of oranges
patio de los naranjos,patio de los naranjos
puente,bridge
puente,puente
puerto,harbour
puerto,port
ruina,ruin
torre de calahorra,calahorra tower
torre de calahorra,torre de calahorra
tajo,gorge
torre del oro,golden tower
torre del oro,gold tower
torreo del oro,tower of gold
torre del oro,torre del oro
albaicín,albaicin
albayzin,albayzin
sacromonte,sacromonte
sacromonte,sacro monte
sierpe,sierpe
malagueta,malagueta
triana,triana
barrio,quarter
calle,street
calle,calle
casa,house
casa,dwelling
casco histórico,old quarter
casco histórico,old town
ciudad,town
ciudad,ciudad
pueblo,village
pueblecito,pueblecito
cortijo,farm
judería,jewish
judería,jewry
mercado,market
mercado,zoco
mercado,socco
jardín,garden
parque,park
patio,court
patio,courtyard
patio,patio
pilato,pilato
plaza,square
posada,inn
taberna,tavern
pozo,well
pozo,welling
circo,circo
circo,cirque
circo,circus
teatro,theatre
teatro,teatro
cementerio,cemetery
carcel,gaol
hospital,hospital
mina,mine
aguardiente,aguardiente
botijo,botijo
café,café
café,coffee
cantaro,water-jars
cantaro,cantaro
molino,mill
vino,wine
vino,sherry
buñuelo,bunuelo
churro,churro
ajo,garlic
gazpacho,gazpacho
olla,olla
aceite,oil
tabaco,tobacco
tabaco,tabaco
tabaco,cigarrette
uva,grape
barreño,barreno
trabuco,trabuco
cobre,copper
alforja,alforja
camino,road
camino,highway
camino,byway
viajar,Travel
viajero,Traveller
viajero,Traveler
Viajero,Viajero
Viajera,Viajera
Viaje,Journey
Viaje,Trip
Viaje,Tour
sendero,foothpath
diligencia,carriage
diligencia,diligence
ferrocarril,railway
ferrocarril,railroad
tren,train
venta,ventorrillo
venta,venta
alpujarra,alpujarra
alpuxarra,alpuxarra
darro,darro
despeñaperros,despenaperros
doñana,donana
genil,genil
guadalete,guadalete
guadalevín,guadalevin
guadalquivir,guadalquivir
guadalquivir,guadalquiver
marisma,marisma
montaña,mountain
mulhacén,mulhacen
mulhacén,muley hassan
sierra de almijara,almijara
sierra bermeja,bermeja
sierra de cazorla,sierra de cazorla
sierra morena,brown mountain
sierra morena,sierra morena
sierra nevada,sierra nevada
del sur,southern
sur,south